t(step),avg_snr_db(dB),total_cap(Mbps),triggered(0/1),sr_mult,pop_mult,update_freq,comm_imp(Mbps),convergence_speed(Mbps/s),reward,pso_particles,pso_iterations,pso_w_max,pso_w_min,pso_c1,pso_c2,pso_move_penalty,relay_jump(m),ppo_action_0,ppo_action_1,ppo_action_2,failure_flag(0/1),optimization_time(s)
0,26.404865749188353,169.33144878996097,1,1.1725046187639236,1.1117417141795158,4,4.521829243757168,52.25147389181502,0.0,33,54,0.938003695011139,0.35175138562917707,2.04,1.96,0.07500000000000001,11.217842929904126,0.3450092375278473,0.22348342835903168,-0.1419970691204071,0,0.08653974533081055
1,26.333197460491796,171.86459468129866,1,1.0953054130077362,1.1160364747047424,4,1.4140864336264656,22.18298245480162,-4.525740656702855,33,52,0.876244330406189,0.32859162390232083,1.996,2.004,0.025,3.7366363937893396,0.1906108260154724,0.23207294940948486,-0.17024633288383484,0,0.06374645233154297
2,25.60083607791786,170.49443055573002,1,1.0814424455165863,1.0943933054804802,4,1.2764511523150759,10.26134155818765,-4.256832388836152,32,52,0.8651539564132691,0.3244327336549759,1.9564,2.0436,0.025,2.2814962700640327,0.1628848910331726,0.1887866109609604,-0.13946400582790375,1,0.12439417839050293
3,25.18809061332834,167.75241897760986,1,1.0832039415836334,1.0989843010902405,4,1.5539873560281308,25.83001919385195,-2.4322520021307446,32,52,0.8665631532669068,0.32496118247509004,1.92076,2.0792400000000004,0.025,2.3336598349761815,0.16640788316726685,0.19796860218048096,-0.1293713003396988,0,0.06016206741333008
4,24.662191354917454,164.2616806668014,1,1.0882485806941986,1.1006943807005882,4,1.9607198287826009,16.851298644008356,-2.119845277349074,33,52,0.870598864555359,0.3264745742082596,1.888684,2.1113160000000004,0.025,2.200000000000003,0.17649716138839722,0.20138876140117645,-0.1602766066789627,0,0.11635422706604004
5,24.114796710720075,160.6277208880822,1,1.089695282280445,1.0915350764989853,4,2.10397093811099,21.473207372933032,-0.7810221298423368,32,52,0.8717562258243561,0.32690858468413353,1.8598156000000001,2.1401844000000003,0.025,2.200000000000003,0.1793905645608902,0.18307015299797058,-0.12763991951942444,0,0.09798121452331543
6,23.267938848127283,155.0669775561418,0,1.0,1.0,1,0.0,0.0,0.0,32,52,0.8717562258243561,0.32690858468413353,1.8598156000000001,2.1401844000000003,0.025,nan,0.0,0.0,0.0,0,0.0
7,22.646534938180636,150.96069777634864,0,1.0,1.0,1,0.0,0.0,0.0,32,52,0.8717562258243561,0.32690858468413353,1.8598156000000001,2.1401844000000003,0.025,nan,0.0,0.0,0.0,0,0.0
8,22.157216991817002,147.7157484143975,1,1.0917311981320381,1.0966458767652512,4,12.129484566263642,168.32732469624122,4.991604735007382,32,52,0.8733849585056306,0.3275193594396114,1.8338340400000002,2.1661659600000003,0.025,11.217842929904128,0.18346239626407623,0.19329175353050232,-0.13031280040740967,0,0.07205891609191895
9,22.165088067701127,147.76793509723,1,1.1070825830101967,1.1036307588219643,4,10.084835279585661,131.05036729944499,4.847491465396824,33,52,0.8856660664081574,0.332124774903059,1.8104506360000001,2.1895493640000003,0.025,11.217842929904128,0.21416516602039337,0.20726151764392853,-0.13984070718288422,0,0.07695388793945312
