t(step),avg_snr_db(dB),total_cap(Mbps),triggered(0/1),sr_mult,pop_mult,update_freq,comm_imp(Mbps),convergence_speed(Mbps/s),reward,pso_particles,pso_iterations,pso_w_max,pso_w_min,pso_c1,pso_c2,pso_move_penalty,relay_jump(m),ppo_action_0,ppo_action_1,ppo_action_2,failure_flag(0/1),optimization_time(s)
0,26.946453212465638,172.7696507958485,1,1.1795061826705933,1.1241398081183434,4,4.614120024733182,42.37773595067539,0.0,33,54,0.9436049461364746,0.353851854801178,2.04,1.96,0.07500000000000001,10.198039027185569,0.3590123653411865,0.2482796162366867,-0.142397940158844,0,0.10888075828552246
1,26.916232239697088,175.18546437837006,1,1.0827590078115463,1.1119026392698288,4,1.6242986961323709,15.935038262000832,-4.5257406296487055,33,52,0.8662072062492371,0.32482770234346386,1.996,2.004,0.025,4.5997051563530675,0.16551801562309265,0.2238052785396576,-0.1718100905418396,0,0.10193252563476562
2,26.14594421100253,174.08672700615892,0,1.0,1.0,1,0.0,0.0,0.0,33,52,0.8662072062492371,0.32482770234346386,1.996,2.004,0.025,nan,0.0,0.0,0.0,0,0.0
3,25.57045515326182,170.26495156840994,1,1.0793199464678764,1.0990554839372635,4,2.421271566195145,48.84001738609932,0.4629495094318876,32,51,0.8634559571743012,0.3237959839403629,1.9564,2.0436,0.025,2.0,0.15863989293575287,0.19811096787452698,-0.1521979719400406,0,0.0495755672454834
4,25.064962192210015,166.90843915890397,1,1.092302329838276,1.1004720851778984,4,2.699479884075828,17.12915394717548,-2.6897721623183255,33,52,0.8738418638706208,0.3276906989514828,1.92076,2.0792400000000004,0.025,2.0,0.18460465967655182,0.20094417035579681,-0.15660876035690308,0,0.15759563446044922
5,24.528962089107395,163.3499116467079,1,1.0806699320673943,1.103972189128399,4,2.6848105366712502,34.86857707840575,-0.057064210558392746,33,52,0.8645359456539154,0.32420097962021827,1.888684,2.1113160000000004,0.025,2.0,0.1613398641347885,0.2079443782567978,-0.13990260660648346,0,0.07699799537658691
6,24.002703806642824,159.85676371611663,1,1.0977968126535416,1.1070654094219208,4,9.906512505622032,75.96869360228123,4.976143348054843,33,52,0.8782374501228333,0.32933904379606244,1.8598156000000001,2.1401844000000003,0.025,10.198039027185569,0.19559362530708313,0.21413081884384155,-0.1612008661031723,0,0.1304025650024414
7,23.94422513739269,159.46865015068602,1,1.0881785526871681,1.0928662344813347,4,8.379682967944973,29.176929531935933,3.8642665407826633,32,52,0.8705428421497345,0.3264535658061504,1.8338340400000002,2.1661659600000003,0.025,10.198039027185569,0.17635710537433624,0.18573246896266937,-0.17122311890125275,1,0.2872023582458496
8,23.883823259939717,159.0677842428699,1,1.0840468183159828,1.1132890284061432,4,6.707703613446881,58.47551290344277,4.005958576279044,33,52,0.8672374546527863,0.3252140454947948,1.8104506360000001,2.1895493640000003,0.025,10.03319471163681,0.16809363663196564,0.22657805681228638,-0.17114058136940002,0,0.11470961570739746
9,23.901034538231297,159.1820081849408,1,1.0918092280626297,1.1008606031537056,4,4.790736054274134,29.098175655687363,-1.453701817655614,33,52,0.8734473824501038,0.3275427684187889,1.7894055724000002,2.2105944276000002,0.025,10.198039027185569,0.1836184561252594,0.2017212063074112,-0.12633414566516876,0,0.1646404266357422
10,23.83979792533165,158.7756113211043,1,1.0912365019321442,1.0970681607723236,4,3.0795651817445844,34.18301296501689,-3.1289717799001315,32,52,0.8729892015457154,0.3273709505796432,1.77046501516,2.2295349848400003,0.025,10.198039027185569,0.18247300386428833,0.19413632154464722,-0.1569192111492157,0,0.09009051322937012
11,23.337205933001982,155.52052558267593,1,1.091756708920002,1.0980706363916397,4,1.8988186792270767,13.570236929908116,-4.59440782101237,32,52,0.8734053671360016,0.3275270126760006,1.7534185136440001,2.2465814863560007,0.025,6.506590576139792,0.18351341784000397,0.19614127278327942,-0.15520739555358887,0,0.13992524147033691
12,23.126970738845362,154.1257056855955,1,1.0842819437384605,1.104310505092144,4,1.583711842682078,8.133236665987702,-4.651304704634068,33,52,0.8674255549907685,0.32528458312153813,1.7380766622796,2.2619233377204004,0.025,3.8984424636106754,0.16856388747692108,0.20862101018428802,-0.12697841227054596,0,0.19472098350524902
13,23.05226424484382,153.5918096029175,1,1.0874202772974968,1.0944713726639748,4,0.9840125175596199,28.021995562717326,-4.244131064102445,32,52,0.8699362218379975,0.326226083189249,1.7242689960516402,2.2757310039483603,0.025,10.198039027185567,0.1748405545949936,0.18894274532794952,-0.16153676807880402,0,0.035115718841552734
14,22.8825326886869,152.45388504661844,1,1.0854940637946129,1.107513464987278,4,1.6228195131424172,5.799359770884331,-4.511230914131323,33,52,0.8683952510356904,0.3256482191383839,1.7118420964464764,2.2881579035535244,0.025,5.603113633517751,0.17098812758922577,0.21502692997455597,-0.16181950271129608,0,0.279827356338501
15,22.713279007141224,151.3198422206005,1,1.0910824686288834,1.0896567776799202,4,1.5014960705732676,4.558578553635248,-4.4770833011761,32,52,0.8728659749031067,0.327324740588665,1.700657886801829,2.299342113198172,0.025,5.1251235615052435,0.18216493725776672,0.1793135553598404,-0.1521497368812561,0,0.3293781280517578
16,22.700365554165042,151.2001536537753,1,1.0893798545002937,1.1010198667645454,4,1.0293470039074748,3.479965030937294,-4.561965307184086,33,52,0.871503883600235,0.3268139563500881,1.690592098121646,2.3094079018783544,0.025,10.017448113066383,0.17875970900058746,0.20203973352909088,-0.1466214805841446,0,0.2957923412322998
17,22.397350912444082,149.20297786010255,1,1.0907088816165924,1.1004795730113983,4,2.023571103029127,12.495653002823003,-3.5807231405704245,33,52,0.872567105293274,0.3272126644849777,1.6815328883094813,2.318467111690519,0.025,10.001633587489959,0.18141776323318481,0.20095914602279663,-0.11952468752861023,0,0.1619420051574707
18,22.209124900827486,147.94362800428166,1,1.089933730661869,1.0992335677146912,4,1.6134823681380226,9.418445368475611,-3.9782679257678506,32,52,0.8719469845294953,0.3269801191985607,1.6733795994785332,2.3266204005214677,0.025,10.198039027185569,0.1798674613237381,0.19846713542938232,-0.14201463758945465,0,0.1713109016418457
19,22.107665869598677,147.2774815298162,1,1.0894831418991089,1.1067941561341286,4,0.8334908469519462,4.259123341366822,-4.474137885374287,33,52,0.8715865135192872,0.3268449425697327,1.6660416395306799,2.333958360469321,0.025,7.4798487233499245,0.17896628379821777,0.21358831226825714,-0.13635951280593872,0,0.1956954002380371
20,21.85602448958275,145.61768177175094,0,1.0,1.0,1,0.0,0.0,0.0,33,52,0.8715865135192872,0.3268449425697327,1.6660416395306799,2.333958360469321,0.025,nan,0.0,0.0,0.0,0,0.0
21,21.50444630982816,143.28873219977106,1,1.0952474921941757,1.114473670721054,4,2.866762120101697,5.706921084816865,-2.603159351672047,33,52,0.8761979937553406,0.3285742476582527,1.659437475577612,2.3405625244223893,0.025,10.128662454178583,0.19049498438835144,0.22894734144210815,-0.15091724693775177,0,0.5023307800292969
22,21.4273350754589,142.76804088400124,1,1.0905748084187508,1.1143730878829956,4,2.2721795563288936,5.300038818906483,-3.3158748248307,33,52,0.8724598467350007,0.3271724425256252,1.6534937280198507,2.34650627198015,0.025,10.014073829856324,0.18114961683750153,0.2287461757659912,-0.17545771598815918,0,0.4287099838256836
23,21.369032704402183,142.37354137874732,0,1.0,1.0,1,0.0,0.0,0.0,33,52,0.8724598467350007,0.3271724425256252,1.6534937280198507,2.34650627198015,0.025,nan,0.0,0.0,0.0,0,0.0
24,21.05395333949781,140.2880936377676,1,1.0751636400818825,1.1019045412540436,4,1.8231854150267282,14.319435609280143,-3.1280797716522524,33,51,0.8601309120655061,0.3225490920245647,1.6481443552178656,2.351855644782135,0.025,10.198039027185565,0.15032728016376495,0.20380908250808716,-0.14388184249401093,0,0.12732243537902832
25,20.885011703469438,139.17940761108775,0,1.0,1.0,1,0.0,0.0,0.0,33,51,0.8601309120655061,0.3225490920245647,1.6481443552178656,2.351855644782135,0.025,nan,0.0,0.0,0.0,0,0.0
26,20.592430377379422,137.24421953256635,0,1.0,1.0,1,0.0,0.0,0.0,33,51,0.8601309120655061,0.3225490920245647,1.6481443552178656,2.351855644782135,0.025,nan,0.0,0.0,0.0,0,0.0
27,20.31425169001433,135.4052922566783,1,1.0782851576805115,1.084469974040985,4,4.565308031570339,17.07729234124066,2.226611765212862,32,51,0.8626281261444092,0.3234855473041534,1.6433299196960793,2.356670080303921,0.025,10.198039027185569,0.15657031536102295,0.16893994808197021,-0.13560006022453308,0,0.2673320770263672
28,20.26833928183736,135.09320320975223,1,1.0912094563245773,1.1004218831658363,4,2.8934116170533173,15.929110787268623,-1.2753487238804972,33,52,0.8729675650596619,0.32736283689737317,1.6389969277264713,2.3610030722735287,0.025,10.198039027185573,0.18241891264915466,0.20084376633167267,-0.13661108911037445,0,0.18164300918579102
29,20.163773381435195,134.40917307452574,1,1.0971183255314827,1.1176180765032768,4,3.653474848050564,37.155323195921376,2.7701113398051405,33,52,0.8776946604251862,0.3291354976594448,1.6350972349538244,2.3649027650461756,0.025,10.038694909640476,0.1942366510629654,0.23523615300655365,-0.1432340294122696,0,0.09832978248596191
30,19.941384073622928,132.94760858875242,1,1.1011066138744354,1.0962020009756088,4,2.10249748582018,4.123803037335371,-3.6583270248674298,32,52,0.8808852910995484,0.3303319841623306,1.631587511458442,2.3684124885415585,0.025,10.198039027185562,0.20221322774887085,0.19240400195121765,-0.13946488499641418,0,0.5098443031311035
31,19.65741959248816,131.10743769014843,1,1.0986532270908356,1.0979839488863945,5,3.490385120642742,8.06393997382055,-0.9378468423655411,32,52,0.8789225816726685,0.32959596812725067,1.6284287603125978,2.3715712396874027,0.025,10.198039027185565,0.19730645418167114,0.195967897772789,-0.10593658685684204,0,0.43283867835998535
32,19.58452680879725,130.61484376037248,0,1.0,1.0,1,0.0,0.0,0.0,32,52,0.8789225816726685,0.32959596812725067,1.6284287603125978,2.3715712396874027,0.025,nan,0.0,0.0,0.0,0,0.0
33,19.338803617629804,128.99440323380813,1,1.091744601726532,1.0838283225893974,4,3.8406007212892916,12.528356024737269,0.46031608226986565,32,52,0.8733956813812256,0.3275233805179596,1.625585884281338,2.374414115718663,0.025,10.198039027185565,0.18348920345306396,0.16765664517879486,-0.14195890724658966,0,0.3065526485443115
34,19.290710295311804,128.667249364238,1,1.0958217158913612,1.1015109419822693,4,2.7980941568936544,45.52565078023074,2.2713322605489097,33,52,0.8766573727130891,0.32874651476740835,1.6230272958532042,2.3769727041467963,0.025,10.078039828712994,0.19164343178272247,0.20302188396453857,-0.15490594506263733,0,0.0614619255065918
35,19.164944087037277,127.84102191543565,1,1.0941686406731606,1.0948817357420921,4,3.680892123344023,24.053002666464646,1.5350202119853849,32,52,0.8753349125385285,0.32825059220194813,1.6207245662678837,2.3792754337321167,0.025,10.198039027185573,0.1883372813463211,0.18976347148418427,-0.152295783162117,0,0.15303254127502441
36,19.055549489387648,127.10862730471021,0,1.0,1.0,1,0.0,0.0,0.0,32,52,0.8753349125385285,0.32825059220194813,1.6207245662678837,2.3792754337321167,0.025,nan,0.0,0.0,0.0,0,0.0
37,18.792697410607424,125.38430543836802,1,1.1030104979872704,1.0974216908216476,4,3.549365408201595,5.924270665871935,-1.1834725815785772,32,52,0.8824083983898163,0.3309031493961811,1.6186521096410953,2.3813478903589047,0.025,10.005442703826347,0.2060209959745407,0.1948433816432953,-0.15377166867256165,0,0.5991227626800537
38,18.641076354212654,124.38731153858696,1,1.0876771584153175,1.1138653233647346,4,3.347633305854586,5.952074670912143,-1.5892331154934256,33,52,0.8701417267322541,0.32630314752459527,1.616786898676986,2.3832131013230144,0.025,10.19803902718557,0.17535431683063507,0.2277306467294693,-0.15673896670341492,0,0.5624313354492188
39,18.50661815598012,123.50370545023722,1,1.0859795212745667,1.1061215624213219,4,2.8770961485537896,6.241225571780803,-2.477548420704841,33,52,0.8687836170196533,0.32579385638236996,1.6151082088092874,2.3848917911907135,0.025,10.198039027185564,0.1719590425491333,0.21224312484264374,-0.15391825139522552,0,0.4609825611114502
40,18.504599541843344,123.47594156535658,1,1.0820947214961052,1.0915371924638748,4,1.9109040153360155,13.922077817084498,-3.3226015053687004,32,52,0.8656757771968842,0.32462841644883156,1.6135973879283587,2.3864026120716426,0.025,10.198039027185565,0.1641894429922104,0.18307438492774963,-0.11940965801477432,0,0.13725709915161133
